area,quartos,banheiros,vagas,valor_total
53,1,1,1,1245
25,1,1,0,760
60,1,2,1,1240
38,1,1,0,1350
38,1,1,1,1280
34,1,1,0,1092
36,1,1,1,1618
40,1,1,0,644
25,1,1,0,760
35,1,1,0,760
54,1,1,1,1600
37,1,1,0,871
55,1,1,1,1360
55,1,1,1,1570
40,1,1,0,677
25,1,1,0,760
58,1,2,1,1650
49,1,1,0,1021
37,1,1,0,953
20,1,1,0,710
38,1,1,0,1151
25,1,1,0,760
45,1,1,0,1038
28,1,1,0,1939
55,1,1,0,920
26,1,1,1,887
35,1,1,0,1100
35,1,1,1,1267
60,1,1,1,1021
58,1,1,1,1480
40,1,1,0,997
15,1,1,0,710
45,1,1,0,814
71,1,1,1,1302
20,1,1,0,760
40,1,1,0,1131
40,1,1,0,989
36,1,1,0,1039
25,1,1,0,610
40,1,1,1,865
50,1,1,0,740
48,1,1,1,1311
52,1,1,0,2813
44,1,1,0,1102
37,1,1,0,953
26,1,1,1,887
51,1,1,0,1251
35,1,1,1,710
20,1,1,0,1180
38,1,1,1,1280
15,1,1,0,760
40,1,1,0,640
50,1,1,0,835
30,1,1,0,710
60,1,1,1,4395
15,1,1,0,710
25,1,1,0,760
15,1,1,0,760
45,1,1,0,910
15,1,1,0,760
30,1,1,0,1469
45,1,1,0,814
30,1,1,0,1024
24,1,1,1,560
15,1,1,0,710
30,1,1,0,817
40,1,1,0,660
37,1,1,0,1134
50,1,1,0,790
15,1,1,0,710
36,1,1,1,1019
120,1,2,0,900
50,1,1,0,880
24,1,1,0,740
37,1,1,0,1106
30,1,1,0,1073
97,1,1,0,1259
55,1,1,0,998
25,1,1,0,836
70,1,1,0,1341
48,1,1,0,949
16,1,1,0,891
30,1,1,0,1226
57,1,1,1,1482
25,1,1,0,671
18,1,1,0,1206
42,1,1,0,32750
32,1,1,0,1014
20,1,1,0,801
35,1,1,0,1011
35,1,1,0,1271
40,1,1,0,720
35,1,1,0,832
48,1,1,0,1351
36,1,1,0,921
45,1,1,1,998
52,1,1,0,850
16,1,1,0,896
27,1,1,0,1018
40,1,1,0,1082
40,1,1,0,1153
16,1,1,0,920
40,1,1,0,861
40,1,1,0,1271
30,1,1,0,1577
56,1,1,1,1467
16,1,1,0,870
50,1,1,0,756
56,1,1,0,1045
46,1,1,0,1275
30,1,1,0,770
27,1,1,0,974
37,1,1,1,1284
50,1,1,0,1314
44,1,1,1,1413
30,1,1,1,1501
45,1,1,0,1520
50,1,1,0,1637
30,1,1,0,1527
51,1,1,1,1591
40,1,1,0,770
35,1,1,0,1131
50,1,1,0,1061
45,1,1,0,1219
50,1,1,0,991
46,1,1,1,1046
50,1,1,0,1174
25,1,1,0,1023
16,1,1,0,870
58,1,1,0,1048
55,1,1,0,1396
45,1,1,1,1418
45,1,1,1,1216
48,1,1,0,1291
48,1,1,0,1032
40,1,1,0,950
20,1,1,0,1261
45,1,1,1,2335
44,1,1,0,1290
40,1,1,0,809
35,1,1,0,944
67,1,1,0,1292
40,1,1,0,992
30,1,1,0,987
30,1,1,0,1462
30,1,1,1,1732
38,1,1,0,1580
40,1,1,0,809
35,1,1,0,796
35,1,1,0,832
16,1,1,0,922
50,1,1,1,1062
50,1,1,0,1232
30,1,1,0,821
45,1,1,1,802
25,1,1,0,897
50,1,1,0,787
16,1,1,0,882
47,1,1,0,1074
40,1,1,0,809
50,1,1,0,762
40,1,1,0,809
30,1,1,0,1272
28,1,1,1,1687
50,1,1,0,762
58,1,1,0,1518
39,1,1,1,1157
40,1,1,0,1208
32,1,1,1,989
35,1,1,0,916
50,1,1,0,3907
50,1,1,1,1706
50,1,1,1,1631
30,1,1,1,872
44,1,1,0,1166
40,1,1,0,1067
40,1,1,0,809
30,1,1,1,1572
30,1,1,0,1412
23,1,1,0,1137
20,1,1,0,1161
18,1,1,0,912
38,1,1,0,1361
49,1,1,0,1073
40,1,1,0,809
60,1,1,1,3421
47,1,1,0,1133
21,1,1,0,1082
38,1,1,0,1190
55,1,1,0,1534
40,1,1,1,872
40,1,1,0,1262
18,1,1,0,1533
43,1,1,1,1475
33,1,1,0,1222
22,1,1,0,1012
50,1,1,0,762
50,1,1,0,762
40,1,1,0,762
22,1,1,0,1252
26,1,1,0,1074
33,1,1,1,3825
30,1,1,1,981
15,1,1,0,920
42,1,1,1,1372
39,1,1,0,1240
35,1,1,1,1020
42,1,1,0,1263
40,1,1,1,983
40,1,1,1,983
40,1,1,0,993
20,1,1,0,1435
35,1,1,1,1020
40,1,1,0,1069
45,1,1,0,1797
35,1,1,0,1108
42,1,1,0,1204
50,1,1,0,813
25,1,1,0,1313
45,1,1,0,1797
39,1,1,1,1586
45,1,1,0,1411
50,1,1,0,843
50,1,1,0,847
38,1,1,0,1023
27,1,1,0,849
50,1,1,0,872
70,1,2,1,1498
50,1,1,0,831
40,1,1,0,1287
42,1,1,1,1535
50,1,1,1,1492
47,1,1,1,1403
38,1,1,0,1023
30,1,1,0,1380
30,1,1,0,1111
48,1,2,0,1750
41,1,1,1,3613
30,1,1,0,1013
70,1,1,0,1059
40,1,1,0,1405
50,1,1,0,1827
28,1,1,0,1103
58,1,1,0,1422
50,1,1,0,857
25,1,1,0,1097
35,1,1,1,1063
23,1,1,0,1027
67,1,1,1,1228
18,1,1,0,1213
44,1,1,0,1930
16,1,1,0,993
60,1,1,0,1363
38,1,1,0,1427
20,1,1,0,1097
23,1,1,0,1223
28,1,1,0,1059
30,1,1,0,930
47,1,1,0,1189
40,1,1,0,1353
45,1,1,0,1367
30,1,1,0,1034
35,1,1,1,1354
27,1,1,0,848
20,1,1,0,1003
25,1,1,0,849
40,1,1,0,897
40,1,1,0,1188
38,1,1,0,1197
15,1,1,0,1013
40,1,1,0,1069
68,1,1,1,1661
60,1,1,0,813
38,1,1,0,1023
47,1,1,0,1189
40,1,1,0,1084
40,1,1,0,932
39,1,1,0,1393
60,1,1,0,1358
20,1,1,0,1023
50,1,1,1,1713
42,1,1,0,1584
44,1,1,1,4023
48,1,1,0,1255
50,1,1,1,1472
38,1,1,0,1642
35,1,1,0,1117
50,1,1,1,1364
36,1,1,1,791
83,1,1,1,1653
48,1,1,0,1713
20,1,1,0,1149
60,1,1,1,1746
40,1,1,0,1626
50,1,2,0,964
20,1,1,0,1563
41,1,1,0,1364
35,1,1,0,1144
20,1,1,0,1563
60,1,1,0,1234
24,1,1,0,884
40,1,1,1,1384
50,1,1,1,1114
58,1,1,0,1602
47,1,1,0,1202
22,1,1,0,884
30,1,1,0,1389
40,1,1,0,942
35,1,1,0,1144
40,1,1,0,1402
29,1,1,0,1314
45,1,1,0,914
34,1,1,0,960
50,1,1,0,914
21,1,1,1,1994
38,1,1,0,1521
50,1,1,1,935
40,1,1,1,1384
50,1,1,0,1214
42,1,1,1,1213
64,1,1,0,1844
40,1,1,0,939
45,1,1,0,2322
39,1,1,1,1126
30,1,1,0,1193
40,1,1,0,1464
30,1,1,1,791
50,1,1,0,1559
70,1,1,0,1004
25,1,1,0,1094
48,1,1,0,1706
35,1,1,0,964
25,1,1,0,1148
45,1,1,0,999
53,1,1,0,1518
55,1,1,0,1774
35,1,1,0,1144
55,1,1,1,1194
28,1,1,1,1399
40,1,1,0,1744
62,1,1,0,1077
40,1,1,0,1414
37,1,1,0,1706
18,1,1,0,1670
80,1,1,0,1364
50,1,1,0,911
70,1,1,0,967
58,1,1,1,1770
40,1,1,0,1214
47,1,1,1,1189
35,1,1,0,1540
25,1,1,0,1172
22,1,1,0,1358
45,1,1,0,2322
50,1,1,0,1269
63,1,1,0,1292
70,1,1,0,914
20,1,1,1,1014
40,1,1,0,1699
45,1,1,1,1318
32,1,1,0,1414
52,1,1,0,1044
55,1,1,1,1304
43,1,1,0,1501
45,1,1,0,1346
30,1,1,0,1193
20,1,1,1,1039
45,1,1,0,939
67,1,1,0,1209
58,1,1,1,1770
40,1,1,0,934
44,1,1,0,1207
35,1,1,0,1144
48,1,1,0,1156
50,1,1,1,973
55,1,1,1,1496
44,1,1,0,1127
24,1,1,0,884
24,1,1,0,1434
22,1,1,0,991
36,1,1,0,1537
44,1,1,0,1529
40,1,1,0,915
19,1,1,0,1820
15,1,1,0,1115
25,1,1,0,1296
30,1,1,0,2025
57,1,1,0,1325
47,1,1,0,1374
55,1,1,0,1764
29,1,1,0,1123
40,1,1,1,987
26,1,1,0,1615
51,1,1,1,1979
40,1,1,0,1048
35,1,1,0,1586
22,1,1,0,991
18,1,1,0,1575
28,1,1,0,1665
38,1,1,1,1388
42,1,1,0,1592
15,1,1,0,1615
65,1,1,1,1459
45,1,1,0,995
20,1,1,1,1115
28,1,1,0,1665
40,1,1,1,2066
36,1,1,0,1496
40,1,1,0,1505
55,1,1,1,1524
40,1,1,0,1615
50,1,1,0,965
50,1,1,1,2110
30,1,1,0,1505
50,1,1,0,1403
15,1,1,0,1115
25,1,1,0,1547
42,1,1,2,1335
55,1,1,0,910
27,1,1,0,1150
45,1,1,0,982
27,1,1,0,1388
39,1,1,1,1748
20,1,1,1,1115
40,1,1,0,1201
100,1,1,0,965
35,1,1,0,1365
55,1,1,0,1592
45,1,1,0,965
55,1,1,1,1365
27,1,1,0,1150
30,1,1,0,1265
42,1,1,0,1299
40,1,1,0,1410
35,1,1,0,1586
20,1,1,1,1115
80,1,2,0,1333
50,1,1,0,1205
60,1,1,0,995
15,1,1,0,1115
80,1,1,0,855
20,1,1,1,1115
45,1,1,1,1423
45,1,1,0,1112
45,1,1,0,1556
34,1,1,0,1608
39,1,1,0,1615
46,1,1,0,1104
30,1,1,0,1737
33,1,1,0,1729
60,1,1,1,1982
70,1,2,1,2401
32,1,1,0,1646
30,1,1,1,3147
55,1,1,1,1211
55,1,2,1,1921
45,1,1,0,1150
30,1,1,0,1737
64,1,1,0,1991
30,1,1,0,1571
52,1,1,1,2139
37,1,1,0,2121
42,1,1,0,1216
25,1,1,0,1251
16,1,1,0,1275
52,1,1,0,1715
27,1,1,0,1517
44,1,1,1,1616
35,1,1,1,2242
38,1,1,0,1741
21,1,1,0,1735
26,1,1,0,1567
60,1,2,0,1079
35,1,1,0,1794
22,1,1,0,1447
40,1,1,0,1516
50,1,1,2,1516
50,1,1,0,1125
50,1,1,0,1291
41,1,1,0,1490
25,1,1,0,1251
40,1,1,0,1575
25,1,1,0,1251
65,1,1,1,1679
15,1,1,0,1216
44,1,1,1,1680
30,1,1,0,1549
35,1,1,0,1681
55,1,1,0,1746
35,1,1,0,1246
49,1,1,1,1761
70,1,1,1,1673
70,1,1,1,1621
60,1,1,0,1546
46,1,1,0,1792
35,1,1,1,1686
45,1,1,0,1100
70,1,1,1,1750
45,1,1,0,1294
24,1,1,0,1741
30,1,1,0,1807
40,1,1,1,1324
55,1,2,1,1921
69,1,1,1,2173
40,1,1,0,1023
47,1,1,0,1732
19,1,1,0,1257
19,1,1,0,1216
37,1,1,1,2912
45,1,1,0,1046
25,1,1,0,1100
25,1,1,0,1251
19,1,1,0,1257
82,1,1,1,1588
30,1,1,0,1281
19,1,1,0,1257
21,1,1,0,1735
81,1,1,1,1833
35,1,1,1,1016
52,1,1,0,1431
50,1,1,0,1016
50,1,1,1,1748
42,1,1,1,2372
49,1,1,0,1881
30,1,1,0,1016
80,1,1,4,1091
18,1,1,0,1476
40,1,1,0,1167
40,1,1,0,1317
42,1,1,0,1117
35,1,1,0,1572
28,1,1,0,1342
33,1,1,0,1572
30,1,1,0,1478
35,1,1,0,1572
56,1,1,0,1744
41,1,1,1,1742
68,1,1,0,1117
25,1,1,0,1452
120,1,2,1,1129
60,1,1,0,1642
60,1,1,1,2102
61,1,1,0,1357
40,1,1,0,2028
34,1,1,1,2617
55,1,1,0,1058
50,1,1,0,1117
33,1,1,0,1572
47,1,1,0,1317
70,1,1,0,1266
46,1,1,1,1451
28,1,1,0,1317
50,1,1,0,1450
35,1,1,0,1307
33,1,1,1,3263
39,1,1,0,1317
60,1,1,0,1642
35,1,1,0,1476
32,1,1,0,1817
35,1,1,0,1569
40,1,1,0,1646
49,1,2,0,1317
90,1,1,1,1584
38,1,1,0,1772
44,1,1,0,1545
45,1,1,0,1557
28,1,1,0,1679
40,1,1,0,1312
45,1,1,1,1857
30,1,1,1,1327
40,1,1,0,1111
63,1,1,0,2021
38,1,1,0,1442
33,1,1,0,1688
50,1,1,1,1117
30,1,1,0,2067
26,1,1,0,1602
70,1,1,1,1117
48,1,1,0,1752
60,1,2,1,2057
28,1,1,1,1817
55,1,1,0,1517
35,1,1,0,1572
50,1,2,0,1367
65,1,1,0,1565
70,1,1,0,1764
48,1,1,1,1373
35,1,1,0,1572
31,1,1,0,1677
35,1,1,0,1201
45,1,1,0,1557
30,1,1,0,2067
32,1,1,0,1366
45,1,1,0,1117
55,1,1,0,1058
40,1,1,1,2343
46,1,1,1,1317
23,1,1,1,1321
20,1,1,1,3078
35,1,1,0,1718
44,1,1,0,1593
52,1,1,0,1410
36,1,1,0,1867
40,1,1,1,2586
37,1,1,0,1418
73,1,1,0,1430
53,1,1,0,1805
28,1,1,0,1408
80,1,1,1,1243
32,1,1,0,1418
54,1,1,1,1419
60,1,1,1,1198
45,1,1,1,1545
50,1,1,1,1508
60,1,1,0,1288
40,1,1,0,1889
31,1,1,0,1835
58,1,1,1,1518
50,1,1,1,1638
20,1,1,0,2043
44,1,1,1,1499
90,1,2,0,1697
55,1,1,0,1418
48,1,1,0,1202
38,1,1,0,1565
25,1,1,0,2007
44,1,1,1,1218
45,1,1,0,1487
38,1,1,1,1731
54,1,1,1,3168
32,1,1,0,1868
50,1,1,0,1786
45,1,1,1,1670
40,1,1,1,993
24,1,1,0,1938
50,1,1,0,1107
40,1,1,0,1518
30,1,1,0,1831
42,1,1,0,1651
50,1,1,1,1628
25,1,1,0,2007
54,1,1,1,1710
35,1,1,0,1400
26,1,1,1,1816
38,1,1,0,1318
48,1,1,0,1202
22,1,1,0,1813
38,1,1,0,1318
28,1,1,0,1327
40,1,1,1,2586
40,1,1,1,1428
42,1,1,1,1543
31,1,1,0,1835
40,1,1,1,2586
16,1,1,0,1888
30,1,1,0,1952
45,1,1,0,1178
35,1,1,0,1400
35,1,1,0,1400
29,1,1,0,1975
44,1,1,1,2260
57,1,2,0,2088
25,1,1,0,1308
35,1,1,0,1678
40,1,1,1,2586
40,1,1,0,1707
76,1,1,0,1529
60,1,1,1,1269
58,1,1,1,1153
40,1,1,0,1239
32,1,1,0,2059
45,1,1,0,1246
50,1,1,0,1303
50,1,1,0,1303
56,1,1,0,1267
52,1,1,1,2054
50,1,1,0,1303
60,1,1,0,1605
48,1,1,1,2887
40,1,1,0,1455
25,1,1,0,1244
70,1,1,0,1253
47,1,1,0,1747
70,1,2,0,1219
38,1,1,0,1672
60,1,1,1,1689
32,1,1,0,1871
57,1,1,1,3077
38,1,1,0,1869
33,1,1,1,3308
50,1,1,1,2687
65,1,1,0,1594
50,1,1,0,1531
58,1,2,2,1823
46,1,1,1,1524
68,1,1,1,1834
30,1,1,0,2640
38,1,1,0,1567
48,1,1,0,2159
43,1,1,0,1495
30,1,1,0,1219
40,1,1,0,1455
54,1,1,1,1530
50,1,1,0,1303
44,1,1,0,1689
24,1,1,0,2043
45,1,1,0,1849
40,1,1,1,1455
44,1,1,1,1934
48,1,1,0,1603
27,1,1,0,1499
25,1,1,0,1264
50,1,1,0,1219
25,1,1,0,1264
30,1,1,0,1219
50,1,1,0,1303
40,1,1,0,1319
47,1,1,0,1773
24,1,1,1,2278
30,1,1,0,1613
45,1,1,0,1219
50,1,1,0,1219
35,1,1,0,1868
30,1,1,1,2406
32,1,1,0,1850
60,1,1,0,1575
41,1,1,0,1900
42,1,1,0,2994
26,1,1,0,2234
44,1,2,0,1610
20,1,1,0,1774
50,1,1,0,2117
23,1,1,0,1880
67,1,1,0,1375
50,1,1,0,1979
70,1,1,2,1383
50,1,1,1,3420
46,1,1,0,2280
28,1,1,0,1364
29,1,1,0,2030
32,1,1,1,1843
30,1,1,1,1525
48,1,1,1,2052
50,1,1,1,2191
22,1,1,1,1520
90,1,1,0,1937
73,1,1,0,2366
80,1,1,1,1404
45,1,1,0,2220
50,1,1,0,1133
110,1,1,1,1570
45,1,1,1,1379
30,1,1,1,2141
70,1,1,4,1362
30,1,1,0,1591
24,1,1,1,1330
26,1,1,0,2541
32,1,1,1,1849
70,1,2,1,3404
60,1,1,0,1464
33,1,1,0,1825
45,1,1,1,2350
54,1,1,0,2250
40,1,1,0,1989
50,1,1,1,2903
30,1,1,1,2141
22,1,1,1,1520
40,1,1,2,2663
65,1,1,0,2206
44,1,2,0,1610
30,1,1,0,2328
40,1,1,1,1388
30,1,1,0,1995
35,1,1,0,1820
33,1,1,0,1870
30,1,1,0,1520
60,1,1,1,1350
30,1,1,1,1350
50,1,1,0,1620
45,1,1,1,2051
40,1,1,1,1997
37,1,1,0,1890
60,1,1,2,2120
30,1,1,0,2081
48,1,1,1,2185
45,1,1,0,2589
25,1,1,0,1928
40,1,1,1,1976
80,1,1,0,1441
61,1,1,0,2015
40,1,1,1,1857
35,1,1,0,2071
42,1,1,0,3145
40,1,1,1,2881
25,1,1,0,1458
23,1,1,0,2024
22,1,1,0,2044
58,1,2,0,2411
35,1,1,1,2285
33,1,1,0,2163
50,1,1,1,2352
70,1,1,1,1981
50,1,1,0,2161
36,1,1,0,1981
44,1,1,0,1981
43,1,1,0,1938
50,1,1,2,1384
36,1,1,1,2061
36,1,1,0,1996
35,1,1,1,1421
33,1,1,0,2021
33,1,1,1,2230
30,1,1,0,1963
55,1,1,1,2263
58,1,1,1,2320
36,1,1,0,1955
28,1,1,0,1821
29,1,1,0,1564
28,1,1,1,2101
35,1,1,0,2368
42,1,1,1,1855
22,1,1,0,1871
36,1,1,0,1981
40,1,1,1,2881
34,1,1,1,1509
27,1,1,0,1734
30,1,1,0,2051
50,1,1,1,2352
66,1,1,2,2239
30,1,1,0,2021
49,1,1,0,1371
50,1,1,1,2352
38,1,1,0,2490
30,1,1,1,3837
26,1,1,0,2658
32,1,1,0,1971
33,1,1,0,1971
25,1,1,0,2061
25,1,1,0,2151
60,1,1,0,1745
32,1,1,0,2266
44,1,1,1,1789
26,1,1,0,2182
50,1,1,1,2554
90,1,1,1,3552
39,1,1,1,2072
32,1,1,1,3847
40,1,1,1,2547
44,1,1,0,2182
40,1,1,0,2112
53,1,1,0,1940
30,1,1,1,3079
40,1,1,1,2284
30,1,1,0,2102
41,1,1,0,2607
53,1,1,0,1784
20,1,1,0,1672
38,1,1,0,2404
60,1,1,1,2424
25,1,1,2,2254
70,1,1,2,1477
18,1,1,0,1742
80,1,1,0,1530
27,1,1,0,2139
45,1,1,0,1422
35,1,1,0,1922
38,1,1,0,2404
75,1,1,0,1472
44,1,1,0,2440
18,1,1,0,1732
41,1,1,0,2607
43,1,1,0,1972
42,1,1,0,1872
33,1,1,1,1801
15,1,1,0,1692
35,1,1,0,2102
53,1,1,0,1940
26,1,1,1,3515
51,1,1,0,2173
38,1,1,0,1702
30,1,1,0,2172
70,1,1,2,1477
53,1,1,0,1797
50,1,1,0,1423
34,1,1,1,1708
270,1,1,0,1422
35,1,1,0,2042
35,1,1,0,2102
34,1,1,0,2412
33,1,1,1,1801
29,1,1,0,2091
44,1,1,0,2440
18,1,1,0,1742
37,1,1,0,1931
39,1,1,0,2072
18,1,1,0,1742
30,1,1,0,1787
46,1,1,1,2018
76,1,1,1,1439
42,1,1,0,2142
64,1,1,1,2322
40,1,1,2,2236
60,1,1,1,1422
60,1,1,1,3684
39,1,1,1,2367
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
55,1,1,0,1661
30,1,1,0,2177
45,1,1,2,2688
45,1,1,2,2688
40,1,1,0,2011
60,1,2,1,1553
58,1,1,1,2418
50,1,1,1,2603
35,1,1,0,2243
20,1,1,0,2555
45,1,1,1,2689
47,1,1,1,2353
100,1,1,0,1637
20,1,1,0,2555
50,1,1,1,1603
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
42,1,1,1,2318
29,1,1,0,2456
50,1,1,0,2324
45,1,1,1,2950
57,1,1,1,2457
20,1,1,0,2555
50,1,1,1,2323
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
55,1,1,0,1608
45,1,1,1,3600
115,1,2,2,3077
25,1,1,0,2173
40,1,2,0,2812
40,1,1,1,2153
20,1,1,0,2555
70,1,2,1,1648
64,1,1,0,2273
20,1,1,0,2555
35,1,1,0,2213
20,1,1,0,2555
34,1,1,1,2340
20,1,1,0,2555
45,1,1,1,1603
20,1,1,0,2555
20,1,1,0,2555
20,1,1,0,2555
30,1,1,1,2221
60,1,1,1,1623
20,1,1,0,2555
25,1,1,0,2418
20,1,1,0,2555
20,1,1,0,2555
64,1,1,0,2273
30,1,1,0,2159
46,1,1,0,2173
20,1,1,0,2555
40,1,1,1,2153
20,1,1,0,2555
20,1,1,0,2555
22,1,1,0,2355
20,1,1,0,2555
31,1,1,0,2453
42,1,1,0,2168
20,1,1,0,2555
49,1,1,1,2234
20,1,1,0,2555
35,1,1,1,1624
20,1,1,0,2555
20,1,1,0,2555
50,1,2,0,1533
55,1,2,0,2389
25,1,1,0,1773
20,1,1,0,2555
60,1,1,0,2322
30,1,1,0,2176
65,1,1,0,2154
88,1,2,2,2004
37,1,1,0,2637
30,1,1,0,2503
65,1,1,0,2204
25,1,1,0,2499
70,1,1,0,2366
30,1,1,1,2674
30,1,1,0,1874
37,1,1,0,2711
36,1,1,1,2124
54,1,1,0,2247
78,1,2,1,2676
65,1,1,0,2204
45,1,1,0,2834
38,1,1,0,1958
40,1,1,0,1658
65,1,1,0,2154
65,1,1,0,2154
40,1,1,1,3524
52,1,1,0,2780
50,1,1,0,1966
37,1,1,0,2029
32,1,1,1,2254
42,1,1,0,2562
41,1,1,1,5679
37,1,1,0,2026
25,1,1,0,1864
28,1,1,0,2513
65,1,1,0,2204
50,1,1,0,4209
35,1,1,0,2124
55,1,1,0,2268
40,1,1,0,2314
45,1,1,1,1975
50,1,1,0,2465
42,1,1,0,1675
42,1,1,1,3427
60,1,1,2,5611
33,1,1,0,4025
50,1,1,0,1625
27,1,1,1,2634
60,1,1,2,1685
60,1,1,0,1817
61,1,1,0,2346
25,1,1,0,2594
61,1,2,1,2486
175,1,1,2,1792
45,1,1,0,2278
44,1,1,1,2342
200,1,1,3,1889
45,1,1,0,1980
40,1,1,1,2606
37,1,1,0,3275
38,1,1,0,2670
37,1,1,0,1650
30,1,1,0,2375
45,1,1,1,2650
55,1,1,0,1675
38,1,1,0,2080
46,1,1,0,3275
22,1,1,0,2431
50,1,1,1,2380
84,1,2,1,4578
50,1,1,0,1625
31,1,1,0,2296
35,1,1,0,1625
22,1,1,1,2459
42,1,1,0,2489
35,1,1,1,2409
45,1,1,1,2500
45,1,1,0,2566
50,1,1,0,2589
46,1,1,1,3275
60,1,2,0,1648
38,1,1,2,2226
42,1,1,2,2003
22,1,1,0,2423
40,1,1,0,2453
42,1,1,0,2578
28,1,1,0,2569
34,1,1,0,2960
32,1,1,1,4242
11,1,1,0,2368
100,1,2,2,1726
44,1,1,1,2727
30,1,1,1,4052
33,1,1,1,2963
23,1,1,0,2501
24,1,1,0,2513
22,1,1,0,2365
35,1,1,0,2902
39,1,1,0,2326
32,1,1,1,4442
42,1,1,1,2573
70,1,2,0,2622
35,1,1,0,2586
38,1,1,0,2215
40,1,1,0,2526
36,1,1,0,2476
44,1,1,1,2645
45,1,1,1,2126
40,1,1,0,2640
90,1,1,0,2326
28,1,1,0,2517
27,1,1,0,2611
50,1,1,1,4408
20,1,1,0,2076
40,1,1,0,2475
60,1,1,1,3826
23,1,1,0,2499
50,1,1,0,2514
38,1,1,1,2706
32,1,1,0,2427
33,1,1,1,3776
55,1,1,1,2235
45,1,1,0,2725
31,1,1,1,4141
23,1,1,0,2620
35,1,1,0,2332
60,1,2,1,2839
52,1,1,1,2585
48,1,1,1,2026
35,1,1,1,4001
60,1,1,0,3618
25,1,1,0,2446
40,1,1,0,2605
32,1,1,0,2416
40,1,1,0,2965
43,1,1,0,2475
47,1,1,0,2858
60,1,1,1,3086
30,1,1,0,2533
26,1,1,0,2747
36,1,1,0,2556
43,1,1,1,2709
23,1,1,0,2560
20,1,1,0,2087
35,1,1,1,2768
22,1,1,0,2551
37,1,1,1,2452
25,1,1,0,2486
22,1,1,0,2552
40,1,1,1,2652
40,1,1,0,2467
23,1,1,0,2568
38,1,1,0,2037
45,1,2,1,2721
30,1,1,0,2087
22,1,1,0,2552
20,1,1,0,2087
60,1,1,1,2810
35,1,1,1,2557
22,1,1,0,2551
30,1,1,0,2596
20,1,1,0,2087
42,1,1,1,2564
25,1,1,0,2627
20,1,1,0,2087
35,1,1,1,2807
42,1,1,1,2564
51,1,2,1,3216
23,1,1,0,2568
20,1,1,0,2087
22,1,1,0,2552
52,1,1,1,2895
38,1,1,0,2551
70,1,2,0,1586
22,1,1,0,2552
62,1,1,0,2677
26,1,1,0,2087
45,1,1,1,2022
43,1,1,1,2994
40,1,1,0,2945
128,1,1,0,2728
46,1,1,1,2763
55,1,1,1,3072
43,1,1,1,2138
22,1,1,0,2755
44,1,1,0,1953
13,1,1,0,2270
30,1,1,0,2045
35,1,1,1,2708
28,1,1,0,2800
29,1,1,1,2996
55,1,1,1,2598
25,1,1,0,2592
25,1,1,0,2705
